id,name,type,sex,birthyear,profession,industry,birthcity,party
suas,Susanne Aschhoff,1,2,1971,Selbstständige Tierärztin,4,Nürnberg,1
guac,Gudula Achterberg,1,2,1965,Diplom-Betriebswirtin (FH),2,Kiel  ,1
muar,Muhterem Aras,1,2,1966,Selbständige Steuerberaterin,3,Bingöl,1
anbo,Andrea Bogner-Unden,1,2,1955,Oberstudienrätin a. D.,1,Stuttgart,1
sabo,Sandra Boser,1,2,1976,Diplom-Betriebswirtin,2,Spaichingen,1
suba,Susanne Bay,1,2,1965,Diplomverwaltungswirtin (FH),1,Crailsheim,1
raba,Rainer Balzer,1,1,1959,Ingenieur,5,Bad Schönborn,5
alba,Alfred Bamberger,1,1,1957,Softwareentwickler,6,Eichstätt-Wintershof,5
mabr,Martina Braun,1,2,1960,Bio-Bäuerin,7,Furtwangen,1
ayca,Ayla Catalpepe,1,2,1972,MTLA,4,Göppingen,1
secu,Sebastian Cuny,1,1,1978,Politikwissenschaftler,12,Heidelberg,3
ande,Andreas Deuschle,1,1,1978,Rechtsanwalt,3,Nürtingen,2
anba,Andre Baumann,1,1,1973,Diplom-Biologe,12,Heidelberg,1
neer,Nese Erikli,1,2,1981,Projektleiterin,16,Heilbronn,1
bust,Bürgerstiftung Stuttgart,2,99,99,99,,99,99
foco,Förderverein collegium iuvenum Stuttgart e.V.,2,99,99,99,,99,99
masa,Mannheim sagt Ja! e. V.,2,99,99,99,,99,99
scde,Schutzgemeinschaft Deutscher Wald,2,99,99,99,,99,99
kzge,KZ Gedenkstätte Sandhofen e. V.,2,99,99,99,,99,99
tirh,Tierschutzverein Rhein-Neckar e. V.,2,99,99,99,,99,99
fuma,Futteranker Mannheim e. V.,2,99,99,99,,99,99
kado,1. Karate Do Mannheim-Schönau e. V,2,99,99,99,,99,99
inno,Interessengemeinschaft Nordkultur e. V.,2,99,99,99,,99,99
kuun,Kultur- und Interessengemeinschaft Mannheim-Schönau e. V.,2,99,99,99,,99,99
spma,Spiegelverein Mannheim-Luzenberg e. V.,2,99,99,99,,99,99
bufu,Bund für Umwelt und Naturschutz (BUND),2,99,99,99,,99,99
